MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A15.378.316	Bone Marrow Cells	Hemic and Immune Systems	Hematopoietic System	0.98	>=0.20	SH3BP2 (3.0)	SHKBP1 (2.4)	ZNF438 (2.4)	ARHGEF2 (2.3)	RIT1 (2.1)	HS1BP3 (1.7)	BROX (1.5)	ENSG00000250748 (1.5)	DUSP6 (1.5)	LIMK1 (1.4)
A15.378	Hematopoietic System	Hemic and Immune Systems	Hematopoietic System	0.98	>=0.20	SH3BP2 (3.0)	SHKBP1 (2.4)	ZNF438 (2.4)	ARHGEF2 (2.3)	RIT1 (2.1)	HS1BP3 (1.7)	BROX (1.5)	ENSG00000250748 (1.5)	DUSP6 (1.5)	LIMK1 (1.4)
A08.186.211.464.405	Hippocampus	Nervous System	Central Nervous System	0.99	>=0.20	COL24A1 (4.2)	ERC2 (3.6)	BAI3 (3.1)	ENSG00000230910 (3.1)	RNF112 (2.9)	PRKCE (2.8)	NAT8L (2.7)	MAP2K4 (2.7)	SYT11 (2.3)	WHSC2 (2.1)
A10.549.400	Lymph Nodes	Tissues	Lymphoid Tissue	0.99	>=0.20	SLC22A3 (1.5)	ENPP2 (1.5)	KIAA0907 (1.3)	ENSG00000215231 (1.3)	RNF4 (1.2)	FTSJD1 (1.1)	YTHDC2 (1.0)	THADA (0.9)	FAM116A (0.9)	AFF3 (0.7)
A08.186.211.132.810.428.200	Cerebellum	Nervous System	Central Nervous System	0.99	>=0.20	EPHB1 (5.2)	ZFYVE28 (5.0)	RNF112 (4.5)	ADAMTS16 (3.4)	BAI3 (2.9)	AFF3 (2.8)	ENSG00000230910 (2.8)	CALB2 (2.6)	MXD4 (2.5)	PRKCE (2.5)
A15.382.812	Mononuclear Phagocyte System	Hemic and Immune Systems	Immune System	0.99	>=0.20	SH3BP2 (2.3)	LIMK1 (2.2)	ZNF438 (2.2)	RIT1 (1.9)	ARHGEF2 (1.8)	SHKBP1 (1.7)	HS1BP3 (1.6)	TNIP2 (1.4)	TSSK1B (1.3)	ENSG00000215231 (1.1)
A08.186.211.730.885.287.500.571.735	Visual Cortex	Nervous System	Central Nervous System	0.99	>=0.20	WHSC2 (5.8)	ENSG00000237887 (4.1)	COL24A1 (3.8)	ENSG00000230910 (3.7)	EML6 (3.6)	ERC2 (3.2)	POLN (2.9)	RNF112 (2.9)	C10orf140 (2.7)	BAI3 (2.7)
A15.382.812.522	Macrophages	Hemic and Immune Systems	Immune System	0.99	>=0.20	LIMK1 (2.9)	ZNF438 (2.9)	SH3BP2 (2.2)	ADCY3 (2.0)	ARHGEF2 (1.7)	RIT1 (1.7)	ENSG00000215231 (1.6)	SHKBP1 (1.4)	TNIP2 (1.3)	PDE12 (1.3)
A11.627	Myeloid Cells	Cells	Myeloid Cells	0.99	>=0.20	SH3BP2 (2.8)	ZNF438 (2.6)	SHKBP1 (2.2)	ARHGEF2 (2.1)	RIT1 (2.0)	LIMK1 (1.9)	HS1BP3 (1.6)	DUSP6 (1.3)	ENSG00000249391 (1.2)	TSSK1B (1.2)
A15.382.680	Phagocytes	Hemic and Immune Systems	Immune System	0.99	>=0.20	SH3BP2 (3.0)	ZNF438 (2.8)	SHKBP1 (2.3)	ARHGEF2 (2.2)	RIT1 (2.1)	LIMK1 (2.0)	HS1BP3 (1.7)	DUSP6 (1.4)	ENSG00000249391 (1.3)	TSSK1B (1.3)
A08.186.211.730.317.357	Hypothalamus	Nervous System	Central Nervous System	0.99	>=0.20	MXD4 (2.6)	CRTC1 (2.3)	KY (2.2)	AAGAB (2.2)	C4orf48 (2.1)	BAI3 (1.9)	ZFYVE28 (1.7)	ENSG00000215231 (1.6)	DMRTA2 (1.5)	HYDIN (1.5)
A08.186.211.865	Rhombencephalon	Nervous System	Central Nervous System	0.99	>=0.20	EPHB1 (4.7)	ZFYVE28 (4.5)	RNF112 (4.2)	ADAMTS16 (3.0)	BAI3 (2.8)	ENSG00000230910 (2.7)	CALB2 (2.7)	AFF3 (2.6)	PRKCE (2.4)	MXD4 (2.2)
A08.186.211.865.428	Metencephalon	Nervous System	Central Nervous System	0.99	>=0.20	EPHB1 (4.7)	ZFYVE28 (4.5)	RNF112 (4.2)	ADAMTS16 (3.0)	BAI3 (2.8)	ENSG00000230910 (2.7)	CALB2 (2.7)	AFF3 (2.6)	PRKCE (2.4)	MXD4 (2.2)
A08.186.211.730.885.287.500.571	Occipital Lobe	Nervous System	Central Nervous System	1.00	>=0.20	WHSC2 (5.2)	ENSG00000237887 (3.7)	ENSG00000230910 (3.5)	COL24A1 (3.5)	EML6 (3.4)	ERC2 (3.1)	RNF112 (2.9)	POLN (2.8)	NAT8L (2.7)	BAI3 (2.6)
A11.066	Antigen Presenting Cells	Cells	Antigen-Presenting Cells	1.00	>=0.20	RIT1 (2.1)	LIMK1 (2.0)	SH3BP2 (1.7)	TSSK1B (1.6)	TNIP2 (1.6)	ARHGEF2 (1.4)	SHKBP1 (1.3)	ZNF438 (1.3)	ENSG00000249391 (1.1)	RREB1 (1.1)
A15.382.812.260	Dendritic Cells	Hemic and Immune Systems	Immune System	1.00	>=0.20	RIT1 (2.1)	LIMK1 (2.0)	SH3BP2 (1.7)	TSSK1B (1.6)	TNIP2 (1.6)	ARHGEF2 (1.4)	SHKBP1 (1.3)	ZNF438 (1.3)	ENSG00000249391 (1.1)	RREB1 (1.1)
A09.371.060	Anterior Eye Segment	Sense Organs	Eye	1.00	>=0.20	DMRTA2 (3.1)	LPA (2.7)	FAM116A (1.9)	TNIP2 (1.8)	ANAPC13 (1.6)	FTSJD1 (1.5)	FBLN2 (1.5)	RIT1 (1.5)	CLDN4 (1.4)	MCPH1 (1.3)
A09.371.337.168	Conjunctiva	Sense Organs	Eye	1.00	>=0.20	DMRTA2 (3.2)	LPA (2.8)	FAM116A (2.0)	TNIP2 (1.8)	ANAPC13 (1.6)	FTSJD1 (1.6)	FBLN2 (1.5)	RIT1 (1.5)	CLDN4 (1.4)	MCPH1 (1.3)
A09.371.337	Eyelids	Sense Organs	Eye	1.00	>=0.20	DMRTA2 (3.2)	LPA (2.8)	FAM116A (2.0)	TNIP2 (1.8)	ANAPC13 (1.6)	FTSJD1 (1.6)	FBLN2 (1.5)	RIT1 (1.5)	CLDN4 (1.4)	MCPH1 (1.3)
A08.186.211.464	Limbic System	Nervous System	Central Nervous System	1.00	>=0.20	COL24A1 (3.4)	ERC2 (3.4)	ENSG00000230910 (3.1)	BAI3 (2.9)	PRKCE (2.7)	NAT8L (2.7)	RNF112 (2.6)	SYT11 (2.3)	WHSC2 (2.3)	MAP2K4 (1.9)
A10.272.497	Epidermis	Tissues	Epithelium	1.00	>=0.20	FAM83B (3.1)	CHIC2 (3.1)	MCC (2.8)	SH3BP2 (2.5)	C2orf69 (2.1)	UBQLN4 (1.9)	CLDN4 (1.7)	EIF3M (1.7)	TBC1D23 (1.7)	SLC22A3 (1.6)
A14.724.557	Nasopharynx	Stomatognathic System	Pharynx	1.00	>=0.20	ENSG00000249391 (4.0)	CLDN4 (3.8)	ENSG00000215231 (3.7)	ENSG00000247225 (3.3)	ENSG00000250748 (3.1)	KIAA0907 (2.7)	ENSG00000228536 (2.4)	DMRTA2 (1.9)	ENSG00000254560 (1.9)	C10orf114 (1.8)
A14.724	Pharynx	Stomatognathic System	Pharynx	1.00	>=0.20	ENSG00000215231 (2.9)	ENSG00000249391 (2.4)	CLDN4 (2.2)	ENSG00000247225 (2.1)	KIAA0907 (1.9)	ENSG00000228536 (1.6)	ENSG00000250748 (1.6)	THADA (1.3)	TNIP2 (1.3)	EIF3M (1.3)
A08.186.211.730.885.287	Cerebrum	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.1)	ENSG00000230910 (3.0)	COL24A1 (2.9)	BAI3 (2.8)	NAT8L (2.7)	RNF112 (2.6)	WHSC2 (2.4)	PRKCE (2.3)	SYT11 (2.2)	EML6 (1.9)
A08.186.211.730.885	Telencephalon	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.1)	ENSG00000230910 (3.0)	COL24A1 (2.9)	BAI3 (2.8)	NAT8L (2.7)	RNF112 (2.5)	WHSC2 (2.3)	PRKCE (2.2)	SYT11 (2.2)	EML6 (1.9)
A08.186.211.730.885.287.500	Cerebral Cortex	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.3)	COL24A1 (3.1)	ENSG00000230910 (3.1)	BAI3 (2.9)	NAT8L (2.7)	RNF112 (2.6)	WHSC2 (2.6)	PRKCE (2.4)	SYT11 (2.2)	EML6 (2.0)
A08.186.211.464.710.225	Entorhinal Cortex	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.4)	ENSG00000230910 (3.0)	BAI3 (2.9)	COL24A1 (2.8)	PRKCE (2.8)	NAT8L (2.7)	RNF112 (2.4)	WHSC2 (2.2)	SYT11 (2.2)	CRTC1 (2.0)
A08.186.211.464.710	Parahippocampal Gyrus	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.4)	ENSG00000230910 (3.0)	BAI3 (2.9)	COL24A1 (2.8)	PRKCE (2.8)	NAT8L (2.7)	RNF112 (2.4)	WHSC2 (2.2)	SYT11 (2.2)	CRTC1 (2.0)
A02.835.232.043.300.710	Tarsal Bones	Musculoskeletal System	Skeleton	1.00	>=0.20	DMRTA2 (2.9)	LPA (2.6)	FAM116A (1.9)	TNIP2 (1.9)	FTSJD1 (1.5)	RIT1 (1.5)	FBLN2 (1.4)	ANAPC13 (1.3)	CLDN4 (1.3)	MCPH1 (1.2)
A02.835.232.043.300	Foot Bones	Musculoskeletal System	Skeleton	1.00	>=0.20	DMRTA2 (2.9)	LPA (2.6)	FAM116A (1.9)	TNIP2 (1.9)	FTSJD1 (1.5)	RIT1 (1.5)	FBLN2 (1.4)	ANAPC13 (1.3)	CLDN4 (1.3)	MCPH1 (1.2)
A02.835.232.043	Bones of Lower Extremity	Musculoskeletal System	Skeleton	1.00	>=0.20	DMRTA2 (2.9)	LPA (2.6)	FAM116A (1.8)	TNIP2 (1.8)	FTSJD1 (1.5)	RIT1 (1.4)	FBLN2 (1.3)	CLDN4 (1.2)	ANAPC13 (1.2)	BROX (1.2)
A08.186.211.730	Prosencephalon	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (2.8)	ENSG00000230910 (2.8)	BAI3 (2.6)	NAT8L (2.6)	COL24A1 (2.5)	RNF112 (2.4)	SYT11 (2.1)	WHSC2 (2.1)	PRKCE (2.1)	CRTC1 (1.9)
A11.329.372.600	Macrophages  Alveolar	Cells	Connective Tissue Cells	1.00	>=0.20	ENSG00000215231 (3.1)	ZNF438 (2.8)	LIMK1 (2.0)	ADCY3 (1.7)	RIT1 (1.5)	MCPH1 (1.5)	FTSJD1 (1.4)	LYPLAL1 (1.3)	C2orf69 (1.3)	SH3BP2 (1.2)
A08.186.211.730.885.287.500.863	Temporal Lobe	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.3)	ENSG00000230910 (3.0)	BAI3 (2.9)	PRKCE (2.8)	NAT8L (2.7)	COL24A1 (2.6)	RNF112 (2.4)	SYT11 (2.2)	CRTC1 (2.1)	WHSC2 (2.0)
A08.186.211.730.317	Diencephalon	Nervous System	Central Nervous System	1.00	>=0.20	CRTC1 (2.2)	C4orf48 (2.1)	MXD4 (1.9)	KY (1.9)	HYDIN (1.8)	NAT8L (1.7)	BAI3 (1.7)	SYT11 (1.7)	ENPP2 (1.6)	AAGAB (1.5)
A08.186.211.132	Brain Stem	Nervous System	Central Nervous System	1.00	>=0.20	EPHB1 (3.5)	ZFYVE28 (3.3)	RNF112 (3.2)	CALB2 (2.8)	ENSG00000230910 (2.5)	ADAMTS16 (2.4)	BAI3 (2.4)	SYT11 (2.1)	NAT8L (2.0)	PRKCE (2.0)
A08.186	Central Nervous System	Nervous System	Central Nervous System	1.00	>=0.20	BAI3 (2.1)	ENSG00000230910 (2.0)	RNF112 (1.9)	ERC2 (1.9)	NAT8L (1.8)	SYT11 (1.8)	HYDIN (1.6)	EPHB1 (1.3)	C4orf48 (1.3)	PRKCE (1.3)
A08.186.211	Brain	Nervous System	Central Nervous System	1.00	>=0.20	BAI3 (2.1)	ENSG00000230910 (2.0)	RNF112 (2.0)	ERC2 (1.9)	NAT8L (1.8)	SYT11 (1.8)	HYDIN (1.6)	EPHB1 (1.3)	C4orf48 (1.3)	PRKCE (1.3)
A09.371.729	Retina	Sense Organs	Eye	1.00	>=0.20	C10orf140 (3.6)	FAM193A (3.2)	MLLT10 (2.9)	EPHB1 (2.3)	BAI3 (2.0)	CSRP2 (1.9)	MCPH1 (1.8)	MCC (1.7)	TGFB2 (1.7)	SYT11 (1.6)
A08.186.211.653	Mesencephalon	Nervous System	Central Nervous System	1.00	>=0.20	CALB2 (3.0)	NAT8L (2.5)	SYT11 (2.3)	ENPP2 (2.2)	C4orf48 (2.1)	ENSG00000230910 (1.8)	CRTC1 (1.6)	HYDIN (1.6)	BAI3 (1.6)	SPTBN1 (1.5)
A08.186.211.730.885.287.500.270	Frontal Lobe	Nervous System	Central Nervous System	1.00	>=0.20	ENSG00000230910 (3.2)	NAT8L (3.0)	ERC2 (2.9)	RNF112 (2.8)	BAI3 (2.7)	UBQLN4 (2.6)	CRTC1 (2.5)	WHSC2 (2.4)	C2orf69 (2.4)	COL24A1 (2.2)
A09.371	Eye	Sense Organs	Eye	1.00	>=0.20	FAM193A (1.6)	FAM116A (1.4)	DMRTA2 (1.1)	KIAA0907 (1.1)	LPA (1.0)	FTSJD1 (0.8)	TNIP2 (0.8)	BCL2 (0.8)	MCC (0.8)	ANAPC13 (0.7)
