MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A02.835.232.043.300.710	Tarsal Bones	Musculoskeletal System	Skeleton	0.93	>=0.20	PROK2 (2.7)	IST1 (2.1)	ZNF613 (2.1)	MARVELD3 (2.0)	PRRG4 (2.0)	FAM116A (1.9)	FTSJD1 (1.5)	WNT5A (1.4)	FBLN2 (1.4)	ZNF717 (1.3)
A11.329.372.600	Macrophages  Alveolar	Cells	Connective Tissue Cells	0.94	>=0.20	RXFP2 (4.8)	SPATA12 (4.4)	PTPMT1 (4.3)	NR1H3 (3.6)	CCDC88A (3.3)	ZNF438 (2.8)	ACP2 (2.5)	ZNF717 (2.4)	PTPRJ (2.4)	LIMK1 (2.0)
A15.378.316.580	Monocytes	Hemic and Immune Systems	Hematopoietic System	0.94	>=0.20	SPI1 (3.1)	PTPRJ (2.8)	PMFBP1 (2.5)	CSGALNACT2 (2.4)	LIMK1 (2.3)	CCDC88A (2.1)	ZNF438 (2.1)	SHKBP1 (2.1)	VAC14 (2.0)	DNAJC27-AS1 (1.7)
A08.186.211.730.885.287.249.487	Corpus Striatum	Nervous System	Central Nervous System	0.95	>=0.20	ENSG00000238018 (8.9)	NEIL2 (4.5)	ENSG00000214353 (4.2)	ANKFN1 (4.0)	MLL3 (3.2)	ENSG00000256746 (3.1)	DOCK5 (2.9)	ENSG00000226491 (2.8)	ENSG00000177133 (2.6)	TGFB2 (2.6)
A08.186.211.132.810.428.200	Cerebellum	Nervous System	Central Nervous System	0.95	>=0.20	RNF112 (4.5)	INADL (4.3)	KDM4C (4.3)	CELF1 (4.2)	DPF3 (4.1)	ENSG00000214353 (3.9)	C1QTNF4 (3.7)	ZNF821 (3.6)	ADAMTS16 (3.4)	DNAJC27 (3.2)
A10.549.400	Lymph Nodes	Tissues	Lymphoid Tissue	0.96	>=0.20	NR1H3 (2.4)	FAM208A (1.7)	RXFP2 (1.7)	FAM159A (1.6)	FNBP4 (1.5)	KDM4C (1.4)	ENSG00000245954 (1.4)	ENSG00000244535 (1.3)	ARHGEF3 (1.2)	FTSJD1 (1.1)
A15.382.812.522	Macrophages	Hemic and Immune Systems	Immune System	0.97	>=0.20	SPATA12 (3.7)	NR1H3 (3.0)	PMFBP1 (2.9)	LIMK1 (2.9)	ZNF438 (2.9)	PTPRJ (2.9)	CCDC88A (2.9)	VAC14 (2.7)	SPI1 (2.4)	PTPMT1 (2.4)
A08.186.211.865.428	Metencephalon	Nervous System	Central Nervous System	0.97	>=0.20	RNF112 (4.2)	KDM4C (3.9)	DPF3 (3.9)	INADL (3.8)	ENSG00000214353 (3.7)	CELF1 (3.7)	C1QTNF4 (3.5)	ZNF821 (3.3)	DNAJC27 (3.2)	ADAMTS16 (3.0)
A08.186.211.865	Rhombencephalon	Nervous System	Central Nervous System	0.97	>=0.20	RNF112 (4.2)	KDM4C (3.9)	DPF3 (3.9)	INADL (3.8)	ENSG00000214353 (3.7)	CELF1 (3.7)	C1QTNF4 (3.5)	ZNF821 (3.3)	DNAJC27 (3.2)	ADAMTS16 (3.0)
A14.724	Pharynx	Stomatognathic System	Pharynx	0.97	>=0.20	RXFP2 (2.3)	ENSG00000224186 (2.2)	ENSG00000244535 (2.2)	ENSG00000247225 (2.1)	PMFBP1 (2.1)	ENSG00000245954 (2.0)	FAM159A (1.8)	FAM208A (1.8)	EFR3B (1.7)	ENSG00000228536 (1.6)
A15.382.812	Mononuclear Phagocyte System	Hemic and Immune Systems	Immune System	0.97	>=0.20	PTPRJ (2.7)	SPI1 (2.7)	PMFBP1 (2.5)	CCDC88A (2.5)	CSGALNACT2 (2.2)	LIMK1 (2.2)	VAC14 (2.2)	ZNF438 (2.2)	SPATA12 (2.0)	SHKBP1 (1.7)
A11.872.653	Neural Stem Cells	Cells	Stem Cells	0.97	>=0.20	IL17RD (3.2)	TLK2 (2.7)	PHLPP2 (2.7)	VAC14 (2.5)	DPF3 (2.4)	C2orf63 (2.3)	ZNF821 (2.3)	BMP7 (2.2)	AP1G1 (2.1)	ZNF614 (2.1)
A08.186.211.730.317.357.352	Hypothalamus  Middle	Nervous System	Central Nervous System	0.98	>=0.20	ENSG00000249082 (3.9)	PITX1 (3.6)	ENSG00000224186 (3.3)	MADD (2.7)	ENSG00000254349 (2.7)	B4GALNT3 (2.3)	ZNF821 (2.3)	CCDC104 (2.2)	IFT140 (2.2)	ENSG00000247324 (2.0)
A08.713	Neurosecretory Systems	Nervous System	Neurosecretory Systems	0.98	>=0.20	ENSG00000249082 (3.9)	PITX1 (3.6)	ENSG00000224186 (3.3)	MADD (2.7)	ENSG00000254349 (2.7)	B4GALNT3 (2.3)	ZNF821 (2.3)	CCDC104 (2.2)	IFT140 (2.2)	ENSG00000247324 (2.0)
A08.186.211.730.317.357.352.435	Hypothalamo Hypophyseal System	Nervous System	Central Nervous System	0.98	>=0.20	ENSG00000249082 (3.9)	PITX1 (3.6)	ENSG00000224186 (3.3)	MADD (2.7)	ENSG00000254349 (2.7)	B4GALNT3 (2.3)	ZNF821 (2.3)	CCDC104 (2.2)	IFT140 (2.2)	ENSG00000247324 (2.0)
A06.407.071.140	Adrenal Cortex	Endocrine System	Endocrine Glands	0.99	>=0.20	ARHGEF3 (1.8)	ZFP36L2 (1.7)	IFT140 (1.6)	VAC14 (1.5)	LYPLAL1 (1.4)	DDB2 (1.4)	DNAJC27 (1.3)	C3orf26 (1.3)	ADAMTSL3 (1.2)	PTRHD1 (1.1)
A15.382.812.260	Dendritic Cells	Hemic and Immune Systems	Immune System	0.99	>=0.20	SPI1 (2.5)	CCDC88A (2.5)	PTPRJ (2.4)	VAC14 (2.3)	PMFBP1 (2.1)	LIMK1 (2.0)	CSGALNACT2 (1.9)	TSSK1B (1.6)	ACTRT2 (1.6)	AP1G1 (1.6)
A11.066	Antigen Presenting Cells	Cells	Antigen-Presenting Cells	0.99	>=0.20	SPI1 (2.5)	CCDC88A (2.5)	PTPRJ (2.4)	VAC14 (2.3)	PMFBP1 (2.1)	LIMK1 (2.0)	CSGALNACT2 (1.9)	TSSK1B (1.6)	ACTRT2 (1.6)	AP1G1 (1.6)
A08.186.211.730.885.287.249	Basal Ganglia	Nervous System	Central Nervous System	0.99	>=0.20	ENSG00000238018 (6.0)	ENSG00000214353 (3.6)	NEIL2 (3.4)	ANKFN1 (3.0)	ENSG00000177133 (2.6)	BMP7 (2.3)	SPTBN1 (2.3)	C1QTNF4 (2.2)	ENSG00000256746 (2.2)	ENSG00000226491 (2.2)
A14.724.557	Nasopharynx	Stomatognathic System	Pharynx	0.99	>=0.20	PMFBP1 (3.8)	ENSG00000247225 (3.3)	RXFP2 (3.2)	ENSG00000224186 (3.1)	ENSG00000250748 (3.1)	RET (2.7)	ENSG00000244535 (2.7)	EFR3B (2.7)	ENSG00000245954 (2.5)	AGBL2 (2.4)
A08.186.211.132	Brain Stem	Nervous System	Central Nervous System	0.99	>=0.20	DPF3 (3.3)	RNF112 (3.2)	C1QTNF4 (3.0)	ENSG00000214353 (3.0)	DNAJC27 (2.8)	CALB2 (2.8)	KDM4C (2.8)	EFR3B (2.7)	ZNF821 (2.7)	RET (2.5)
A08.186.211.653	Mesencephalon	Nervous System	Central Nervous System	0.99	>=0.20	RET (5.0)	ENSG00000254349 (3.8)	CALB2 (3.0)	LINC00486 (2.9)	ROBO2 (2.6)	EFR3B (2.5)	BMP7 (2.5)	DNAJC27 (2.0)	DPF3 (2.0)	PHLPP2 (1.8)
A08.186.211.730.317	Diencephalon	Nervous System	Central Nervous System	0.99	>=0.20	ENSG00000254349 (3.5)	MADD (2.4)	ENSG00000224186 (2.0)	HYDIN (1.8)	ENSG00000247324 (1.8)	LINC00486 (1.8)	EFR3B (1.7)	VAC14 (1.7)	ENSG00000249082 (1.7)	CLEC16A (1.6)
A08.186.211.730.317.357	Hypothalamus	Nervous System	Central Nervous System	0.99	>=0.20	ENSG00000254349 (3.0)	ENSG00000249082 (3.0)	ENSG00000224186 (2.7)	PITX1 (2.7)	MADD (2.6)	ZNF821 (2.0)	ENSG00000247324 (2.0)	B4GALNT3 (2.0)	CCDC104 (1.9)	VAC14 (1.8)
A09.371.729	Retina	Sense Organs	Eye	1.00	>=0.20	ROBO2 (5.1)	CCDC88A (3.3)	ZNF821 (3.1)	ZNF19 (2.9)	C2orf63 (2.5)	IFT140 (2.3)	C1QTNF4 (2.3)	TLK2 (2.3)	DPF3 (2.2)	SEMA3A (2.0)
A06.407.071	Adrenal Glands	Endocrine System	Endocrine Glands	1.00	>=0.20	VAC14 (1.5)	ZFP36L2 (1.4)	ARHGEF3 (1.3)	IFT140 (1.3)	C3orf26 (1.1)	PTRHD1 (1.1)	LYPLAL1 (1.1)	DDB2 (1.1)	ADAMTSL3 (1.0)	HAND2 (0.9)
A08.186.211.730.885.287.500.270	Frontal Lobe	Nervous System	Central Nervous System	1.00	>=0.20	C1QTNF4 (3.0)	ERC2 (2.9)	RNF112 (2.8)	DENND1A (2.6)	RASGEF1A (2.5)	CCDC85A (2.4)	ENSG00000245954 (2.2)	COL24A1 (2.2)	LINC00486 (2.2)	MADD (2.1)
A08.186.211.464.405	Hippocampus	Nervous System	Central Nervous System	1.00	>=0.20	COL24A1 (4.2)	ERC2 (3.6)	RNF112 (2.9)	PRKCE (2.8)	MAP2K4 (2.7)	BMP7 (2.4)	C1QTNF4 (2.4)	RASGEF1A (2.3)	ROBO2 (2.3)	MADD (2.3)
A08.186.211.730.885.287.500.670	Parietal Lobe	Nervous System	Central Nervous System	1.00	>=0.20	ENSG00000177133 (3.8)	ENSG00000214353 (3.4)	C1QTNF4 (2.5)	ERC2 (2.5)	DENND1A (2.3)	BMP7 (2.3)	RASGEF1A (2.1)	SPTBN1 (2.1)	RNF112 (1.8)	CCDC85A (1.8)
A08.186	Central Nervous System	Nervous System	Central Nervous System	1.00	>=0.20	RNF112 (1.9)	ERC2 (1.9)	ROBO2 (1.8)	ENSG00000214353 (1.8)	HYDIN (1.6)	C1QTNF4 (1.6)	PHLPP2 (1.5)	BMP7 (1.4)	NCOA1 (1.3)	PRKCE (1.3)
A08.186.211	Brain	Nervous System	Central Nervous System	1.00	>=0.20	RNF112 (2.0)	ERC2 (1.9)	ROBO2 (1.8)	ENSG00000214353 (1.8)	HYDIN (1.6)	C1QTNF4 (1.6)	PHLPP2 (1.6)	BMP7 (1.4)	NCOA1 (1.3)	PRKCE (1.3)
A08.186.211.464	Limbic System	Nervous System	Central Nervous System	1.00	>=0.20	COL24A1 (3.4)	ERC2 (3.4)	ROBO2 (2.7)	PRKCE (2.7)	RNF112 (2.6)	C1QTNF4 (2.5)	RASGEF1A (2.2)	DENND1A (2.2)	ENSG00000177133 (2.1)	MADD (2.1)
A08.186.211.730.885	Telencephalon	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.1)	COL24A1 (2.9)	RNF112 (2.5)	C1QTNF4 (2.4)	ROBO2 (2.4)	ENSG00000177133 (2.3)	ENSG00000214353 (2.3)	PRKCE (2.2)	RASGEF1A (2.1)	DENND1A (2.1)
A08.186.211.730	Prosencephalon	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (2.8)	COL24A1 (2.5)	RNF112 (2.4)	C1QTNF4 (2.3)	ROBO2 (2.1)	ENSG00000214353 (2.1)	MADD (2.1)	PRKCE (2.1)	ENSG00000177133 (2.1)	DENND1A (2.0)
A08.186.211.730.885.287	Cerebrum	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.1)	COL24A1 (2.9)	RNF112 (2.6)	C1QTNF4 (2.5)	ROBO2 (2.4)	ENSG00000177133 (2.3)	ENSG00000214353 (2.3)	PRKCE (2.3)	RASGEF1A (2.2)	DENND1A (2.1)
A08.186.211.730.885.287.500	Cerebral Cortex	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.3)	COL24A1 (3.1)	RNF112 (2.6)	C1QTNF4 (2.5)	ROBO2 (2.5)	PRKCE (2.4)	ENSG00000177133 (2.3)	RASGEF1A (2.2)	ENSG00000214353 (2.2)	DENND1A (2.1)
A08.186.211.730.885.287.500.571.735	Visual Cortex	Nervous System	Central Nervous System	1.00	>=0.20	ENSG00000237887 (4.1)	COL24A1 (3.8)	ENSG00000177133 (3.3)	ERC2 (3.2)	ENSG00000214353 (3.2)	RNF112 (2.9)	STAU2 (2.4)	MADD (2.2)	GNRH1 (2.2)	RASGEF1A (2.1)
A08.186.211.730.885.287.500.863	Temporal Lobe	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.3)	ROBO2 (3.1)	C1QTNF4 (2.8)	PRKCE (2.8)	COL24A1 (2.6)	RNF112 (2.4)	DENND1A (2.4)	ENSG00000177133 (2.2)	RASGEF1A (2.2)	PHLPP2 (2.2)
A08.186.211.464.710.225	Entorhinal Cortex	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.4)	ROBO2 (3.2)	C1QTNF4 (2.8)	COL24A1 (2.8)	PRKCE (2.8)	DENND1A (2.4)	RNF112 (2.4)	ENSG00000177133 (2.3)	RASGEF1A (2.2)	ENSG00000214353 (2.2)
A08.186.211.464.710	Parahippocampal Gyrus	Nervous System	Central Nervous System	1.00	>=0.20	ERC2 (3.4)	ROBO2 (3.2)	C1QTNF4 (2.8)	COL24A1 (2.8)	PRKCE (2.8)	DENND1A (2.4)	RNF112 (2.4)	ENSG00000177133 (2.3)	RASGEF1A (2.2)	ENSG00000214353 (2.2)
A09.371	Eye	Sense Organs	Eye	1.00	>=0.20	IST1 (1.5)	FAM116A (1.4)	ZNF717 (1.3)	C2orf63 (1.3)	BNC2 (1.2)	ZNF613 (0.9)	ATXN1L (0.9)	FTSJD1 (0.8)	PROK2 (0.8)	FNBP4 (0.8)
A08.186.211.730.885.287.500.571	Occipital Lobe	Nervous System	Central Nervous System	1.00	>=0.20	ENSG00000237887 (3.7)	COL24A1 (3.5)	ERC2 (3.1)	ENSG00000177133 (3.0)	ENSG00000214353 (2.9)	RNF112 (2.9)	MADD (2.3)	STAU2 (2.1)	RASGEF1A (2.1)	HYDIN (2.0)
